,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2016-07-01 00:00:00,-0.36312284530886485,-0.005759804318249696,-0.6307122334251107,-0.1475233207779609,1.3885747121513872,0.8751425704606545,1.460551577140926
2016-07-01 01:00:00,-0.3861756714207723,0.026295964874406472,-0.6501005275861265,-0.16621123641058894,1.3289767445495981,0.9243304728102975,1.1615266586026534
2016-07-01 02:00:00,-0.4783867297694609,-0.1339830521941186,-0.6886959084185647,-0.20306795031347147,0.9723649543081067,0.6815645205556462,1.1615266586026534
2016-07-01 03:00:00,-0.4899131018089241,-0.037815630545987376,-0.6886959084185647,-0.18438003468084335,1.0016754645459216,0.7783535455081505,0.862610654319391
2016-07-01 04:00:00,-0.4438076136510703,-0.037815630545987376,-0.6501005275861265,-0.1475233207779609,1.0612736650869394,0.7783535455081505,0.5252267171509363
2016-07-01 05:00:00,-0.3977020434602358,0.05835173406706222,-0.6435773603692567,-0.11066662234571953,1.2400680337707641,0.9243304728102975,0.44088073285882157
2016-07-01 06:00:00,-0.13259515842065323,0.44302153472975114,-0.534133155998612,0.018591419524914853,2.192660431787061,1.697056081833598,0.6172008563264288
2016-07-01 07:00:00,-0.08648958822981874,0.6033006088333575,-0.5018797348934502,0.14784946139554922,2.25225839938885,2.277790231548624,0.6555596671049801
2016-07-01 08:00:00,-0.40922841549969935,0.4750773039224071,-0.476149481005158,0.22156285826003197,0.16925618179859034,1.0211194977628018,0.49460497551077415
2016-07-01 09:00:00,-0.5819522190307477,0.2506866914334883,-0.5727285368310501,0.036760202324528174,-0.0994236118509976,0.9243304728102975,0.03462515752666368
2016-07-01 10:00:00,-0.5127939047609862,0.2506866914334883,-0.5598634098869041,0.05544811795715622,0.16925618179859034,1.116321742968525,0.31065669715978655
2016-07-01 11:00:00,-0.3746492173483284,0.2506866914334883,-0.5212680074538593,0.05544811795715622,0.6450639072436594,1.116321742968525,0.32591300692654585
2016-07-01 12:00:00,-0.5588993929188403,0.2506866914334883,-0.5921168309920659,0.05544811795715622,0.05006001365578345,1.1655096453181677,0.22631071286767257
2016-07-01 13:00:00,-0.5588993929188403,0.31479822981880023,-0.5984588123199489,0.25841955669227334,0.31776309311844136,1.3098997928735336,0.15733016044896064
2016-07-01 14:00:00,-0.4899131018089241,0.44302153472975114,-0.476149481005158,0.3134450998066925,-0.21764283286764555,1.0211194977628018,0.26456060939121323
2016-07-01 15:00:00,-0.4899131018089241,0.5391889563778822,-0.4698074996772751,0.3134450998066925,-0.18833232262982988,1.1655096453181677,0.01925993350489332
2016-07-01 16:00:00,-0.6395841612610459,0.18657503897801295,-0.6113239392640949,0.018591419524914853,-0.15902181239201507,1.116321742968525,0.2569324545078343
2016-07-01 17:00:00,-0.5473730208793768,0.15451926978535677,-0.624189066208241,-0.018265278907326522,0.28747540281523914,1.116321742968525,0.21857364372928226
2016-07-01 18:00:00,-0.3977020434602358,0.410965765537095,-0.46328433246040535,0.2397316410596453,0.28747540281523914,1.116321742968525,0.38726540446187885
2016-07-01 19:00:00,-0.4207547875391629,0.4750773039224071,-0.476149481005158,0.2397316410596453,0.22787743521344975,1.2131107679210293,0.17258647021572035
2016-07-01 20:00:00,-0.4438076136510703,0.4750773039224071,-0.476149481005158,0.2397316410596453,0.0793705238935987,1.1655096453181677,0.08061233104022635
2016-07-01 21:00:00,-0.4899131018089241,0.44302153472975114,-0.48901458634869743,0.2397316410596453,-0.0994236118509976,1.1655096453181677,0.09597776291362801
